ID,Název praktiky,Typ extrému,Měřítko aplikace,Lokalita,Zeměpisná šířka,Zeměpisná délka,Relativní nákladnost,Doba implementace cca,Popis praktiky,Přínosy a výhody,Rizika a omezení,Postup implementace,Zdrojová organizace,Kontaktní údaje,Reference a zdroje,Datum přidání,Podpůrné soubory,Oblast dopadu,Typ opatření,Fáze krize,Provenience,Úroveň ověření,Stav,Kanonický klíč
71,Nizozemsko – Delta Programme / Delta Act (národní governance vodní bezpečnosti),"Sucho, Povodně, Vícenásobné extrémy",Region,Nizozemsko (celostátní),52.1326,5.2913,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Národní governance rámec ukotvený Delta Act (2012) po doporučeních druhé Deltakomise (2008): každoročně aktualizovaný Delta Programme, nezávislý Delta komisař (předkládá plán parlamentu každé září) a Delta Fund jako samostatná rozpočtová kapitola s průměrem 1,5 mld. €/rok (2024–2037). Rizikově založené normy ochrany: do 2050 nesmí pravděpodobnost úmrtí při povodni za primárními hrázemi překročit 1:100 000/rok (základní úroveň ochrany), vyšší pro oblasti s velkými dopady. Tři podprogramy: ochrana před povodněmi (HWBP – 21 vodních rad + Rijkswaterstaat), sladká voda, prostorová adaptace; cíl 'climate-proof and water robust by 2050'; přezkum cílů každých 6 let, adaptivní plánování (flexibilita, žádný lock-in).","Stabilita financování nezávislá na volebních cyklech (fond + komisař ze zákona); přechod od návrhových hladin k rizikovým normám (pravděpodobnost úmrtí); víceúrovňová koordinace státu, provincií, vodních rad a obcí; každoroční veřejná odpovědnost parlamentu; celosvětově referenční model adaptivní vodní governance.","Vysoká fiskální zátěž (komisař uvádí potřebu 30,8 mld. €; riziko rozpočtového napětí); komplexita víceúrovňového řízení; dlouhé horizonty implementace (dokončení norem 2050); přenositelnost vyžaduje srovnatelnou institucionální kapacitu.","1. Nezávislá komise po katalyzující události (1953, 2007)	 2. Zákonné ukotvení (Delta Act): program, fond, komisař	 3. Rizikově založené normy ochrany v legislativě	 4. Roční aktualizace programu a předložení parlamentu	 5. Šestileté přezkumy cílů	 6. Realizace přes HWBP (50/50 stát a vodní rady)	 7. Adaptivní řízení dle nových scénářů",Ministerie van Infrastructuur en Waterstaat / Deltacommissaris,,english.deltaprogramma.nl | government.nl/topics/delta-programme | climate-laws.org/document/delta-act | dutchclimaterisk.nl (normy a rozpočet),2026-07-22,,"Finance a majetek, Infrastruktura, Obyvatelé a komunita",Organizační,"Před krizí – prevence, Připravenost systému (IZS)",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"nizozemsko – delta programme / delta act (narodni governance vodni bezpecnosti)|nizozemsko (celostatni)|povodne, sucho, vicenasobne extremy"
72,Velká Británie – Flood Re (zajistný pool pro dostupné povodňové pojištění),Povodně,Region,Spojené království (celostátní),54.0,-2.0,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"První schéma svého druhu na světě (v provozu od dubna 2016): neziskový zajistný pool vlastněný a řízený pojistným trhem, zřízený zákonem, veřejně odpovědný parlamentu. Pojistitelé mohou postoupit (cede) povodňovou složku pojistek domácností s vysokým rizikem (obecně >1,3 % roční pravděpodobnosti, ~1,3 % = 1:75) za fixní cenu dle pásma council tax; financováno odvodem všech pojistitelů domácností (aktuálně 160 mil. £/rok) + postoupeným pojistným. Klient nadále jedná jen se svým pojistitelem. Schéma je přechodné do r. 2039 (transition k rizikovému oceňování); nekryje budovy postavené po r. 2009 (proti motivaci stavět v záplavových zónách) ani komerční nemovitosti. Od 1. přezkumu doplněn 'Build Back Better' (do 10 000 £ na odolnostní úpravy nad rámec uvedení do původního stavu, nabízí >70 % trhu) a v r. 2025 první britský povodňový katastrofický dluhopis (Vision 2039, 140 mil. £).",Zachování dostupnosti a cenové přijatelnosti pojištění pro ~2 % nejrizikovějších domácností (odhad ~250 000 domů); prevence tržního selhání bez zátěže daňového poplatníka; vestavěné protipobídky pro novou výstavbu v riziku (cut-off 2009); mechanismus Build Back Better financuje adaptaci při likvidaci škod; pilot Flood Performance Certificates (obdoba energetických štítků pro povodňovou odolnost).,"Přechodnost (2039) vyžaduje důvěryhodnou exit strategii; křížová dotace od nízkorizikových pojistníků (odvod); výluky (byty v domech 4+ jednotek, komerční nemovitosti, novostavby) ponechávají mezery; riziko morálního hazardu bez důsledného propojení s prevencí.","1. Dohoda vlády a pojistného trhu (nahrazení Statement of Principles)	 2. Zákonné zřízení poolu a odvodu	 3. Cenění dle council tax pásem, pravidla způsobilosti	 4. Provoz cese pojistek a refundace škod	 5. Vlastní zajistný program poolu	 6. Pětileté přezkumy (QQR) a úpravy	 7. Build Back Better a transition nástroje (cat bond, certifikáty)",Flood Re Ltd / DEFRA / Association of British Insurers,floodre.co.uk,floodre.co.uk/how-flood-re-works | commonslibrary.parliament.uk/research-briefings/cbp-8751 | abi.org.uk (Flood Re explained) | consorsegurosdigital.com (case study),2026-07-22,,"Budovy, Finance a majetek",Organizační,"Po krizi – obnova, Před krizí – prevence",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,velka britanie – flood re (zajistny pool pro dostupne povodnove pojisteni)|spojene kralovstvi (celostatni)|povodne
73,"Portugalsko – Aldeia Segura, Pessoas Seguras (ochrana sídel ve WUI před požáry)",Lesní požáry,Region,Portugalsko (celostátní),39.5,-8.0,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Národní programy ochrany sídel a obyvatel před přírodními požáry spuštěné po katastrofě v Pedrógão Grande (6/2017, >100 obětí) na základě protokolu ANEPC + ANMP (svaz obcí) + ANAFRE (svaz farností). 'Aldeia Segura': strukturální ochrana zástavby na rozhraní urbánního a lesního prostředí (WUI) – ochranné zóny kolem sídel a strategické infrastruktury, identifikace kritických bodů, kolektivní místa úkrytu/refugia a evakuační trasy. 'Pessoas Seguras': osvěta k rizikovému chování, sebeochrana, evakuační cvičení s místními samosprávami; jmenovaní místní bezpečnostní důstojníci (oficiais de segurança) odpovědní za varování a shromáždění obyvatel. Informační materiály v 7 jazycích i pro turisty.","K r. 2026 pokrývá 2 410 lokalit; 2 034 styčných/bezpečnostních důstojníků, 1 966 refugií, 704 evakuačních cvičení a 1 059 osvětových akcí; kombinace strukturálních zón a lidského prvku (poslední míle varování); rozhodnutí evakuace vs. konfinace ponecháno veliteli zásahu dle situace; přímo přenositelný model pro CZ WUI kontext (DISWATCH/WEDS).",Účinnost závisí na údržbě ochranných zón (palivový management) obcemi a vlastníky; dobrovolnost zapojení sídel; udržení motivace důstojníků a četnosti cvičení; kritická je koordinace s velením zásahu při rozhodování evakuace/konfinace.,1. Protokol ANEPC–ANMP–ANAFRE	 2. Výběr rizikových farností (1 091 v 189 obcích)	 3. Vymezení ochranných zón sídel a kritických bodů	 4. Určení kolektivních refugií a evakuačních tras	 5. Jmenování a výcvik místních bezpečnostních důstojníků	 6. Osvětové akce a vícejazyčné materiály	 7. Pravidelná evakuační cvičení (simulacros)	 8. Vyhodnocení po sezóně,ANEPC (Autoridade Nacional de Emergência e Proteção Civil) / ANMP / ANAFRE,aldeiasseguras.pt,prociv.gov.pt/en/prevention-and-preparedness/programmes-and-projects/safe-village-and-safe-people | aldeiasseguras.pt | sgifr.gov.pt/en/safe-village-safe-people-program | civil-protection-knowledge-network.europa.eu (UCPKN story) | agroportal.pt (statistiky 2026),2026-07-22,,"Budovy, Zdraví, Obyvatelé a komunita",Kombinované,"Přímo v krizi – krátkodobá reakce, Před krizí – prevence",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"portugalsko – aldeia segura, pessoas seguras (ochrana sidel ve wui pred pozary)|portugalsko (celostatni)|lesni pozary"
74,Francie – Plan National Canicule (národní meziresortní plán vln veder),Vlny veder,Region,Francie (celostátní),46.6034,1.8883,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Národní meziresortní systém řízení vln veder vytvořený v r. 2004 po katastrofě 2003 (~14 800 nadměrných úmrtí za 1.–20. 8.): aktivní každoročně červen–září, vede Ministerstvo zdravotnictví; Météo-France zajišťuje čtyřstupňovou vigilanci (zelená–červená) s departementálními biometeorologickými prahy, Santé publique France zdravotní surveillance (SurSaUD/MoMo) a kampaně. Definované role od premiéra po starosty: prefekti aktivují ORSEC, obce vedou registry zranitelných osob (kontaktování v horku), plány komunální ochrany, chlazené místnosti v zařízeních pro seniory (povinné od 2004), národní infolinka Canicule Info Service.","Peer-reviewed evaluace: při vlně 2006 ~2 065 nadměrných úmrtí oproti 6 452 predikovaným modelem z období před 2003 (redukce >2/3; Fouillet et al., Int J Epidemiol 2008); od 2004 nebyla pozorována extrémní nadúmrtnost typu 2003; PNAS/PNAS-typ studie ukazují ~77 % nižší predikovanou mortalitu při opakování události 2003 díky moderaci vztahu horko–úmrtnost; 75 % populace se cítí dobře informováno (UNDRR review); vzor pro národní HAP v Evropě.","Nelze plně oddělit efekt plánu od autonomní adaptace (klimatizace, chování); vlny 2022+ stále působí významnou nadúmrtnost (změna klimatu posouvá extrémy); registry zranitelných závislé na dobrovolné registraci; koordinační zátěž obcí; nutná průběžná aktualizace prahů.","1. Post-katastrofická analýza (2003) a politický mandát	 2. Definice rolí všech úrovní (stát–prefekt–starosta)	 3. Biometeorologické prahy a 4stupňová vigilance Météo-France	 4. Zdravotní surveillance v reálném čase (SpF)	 5. Obecní registry zranitelných a kontaktní protokoly	 6. Povinné chlazené prostory v pobytových zařízeních	 7. Každoroční aktivace 1.6.–15.9., kampaně a infolinka	 8. Po sezóně evaluace a aktualizace",Ministère de la Santé / Météo-France / Santé publique France,,"undrr.org/resource/case-study/country-heat-policy-review-france | Fouillet et al. (2008) Int J Epidemiol 37(2):309, doi:10.1093/ije/dym253 | PMC3289125 (evaluace 2006) | PMC12745773 (adaptace vs. klima)",2026-07-22,,"Zdraví, Obyvatelé a komunita",Organizační,"Přímo v krizi – krátkodobá reakce, Připravenost systému (IZS)",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,francie – plan national canicule (narodni meziresortni plan vln veder)|francie (celostatni)|vlny veder
75,Německo – zavedení Cell Broadcast (DE-Alert) po povodni v údolí Ahry 2021,"Povodně, Vícenásobné extrémy",Region,Německo (celostátní),51.1657,10.4515,Vysoké (5-50 mil. Kč),Střednědobá (1-3 roky),"Systémová náprava selhání 'poslední míle' varování při bleskové povodni 7/2021 (Ahr/Erft, 190 obětí v DE, v Altenahru ~7–8 m oproti 3,71 m při povodni 2016): do 2021 vyžadovaly varovné aplikace (NINA, KATWARN) aktivní registraci a část okresů nebyla uživateli MoWaS; vyšetřování vedla k zavedení celoplošného Cell Broadcast (únor 2023) – push varování na všechny mobilní telefony v zasažené buňce sítě bez registrace a bez sběru osobních dat, integrovaného do federálního MoWaS vedle sirén, aplikací a médií; testováno celostátními Warntag dny.","Odstranění závislosti na instalaci aplikací (pokrytí prakticky všech telefonů v oblasti); okamžité doručení geograficky cílených výstrah; ochrana soukromí (broadcast, nikoli adresné SMS); poučení dokumentováno peer-reviewed literaturou (Thieken et al. 2023, NHESS) – vzor 'lessons learned' governance po katastrofě; komplementarita se sirénami (probuzení) a médii.","Cell Broadcast řeší doručení, nikoli obsah – doporučené ochranné akce musí odpovídat reálné situaci (v 2021 byly u výstrah nepřiléhavé); vyžaduje aktuální telefony a nastavení; nutná jasná pravidla kdo a kdy spouští (v 2021 selhala i rozhodovací vrstva okresů); riziko otupení při nadužívání.",1. Nezávislé vyšetření selhání varování (2021)	 2. Legislativní a technická příprava Cell Broadcast	 3. Integrace do MoWaS vedle stávajících kanálů	 4. Dohody s operátory a testování	 5. Spuštění (2/2023) a celostátní Warntag testy	 6. Revize doporučených ochranných akcí dle scénářů	 7. Průběžné vyhodnocování dosahu a reakce veřejnosti,BBK (Bundesamt für Bevölkerungsschutz und Katastrophenhilfe),,"Thieken et al. (2023) NHESS 23:973–990, doi:10.5194/nhess-23-973-2023 | Heidenreich et al. (2025) J Flood Risk Management, doi:10.1111/jfr3.70021 | BBK (2023) – zavedení Cell Broadcast",2026-07-22,,"Zdraví, Obyvatelé a komunita",Technické,"Přímo v krizi – krátkodobá reakce, Připravenost systému (IZS)",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"nemecko – zavedeni cell broadcast (de-alert) po povodni v udoli ahry 2021|nemecko (celostatni)|povodne, vicenasobne extremy"
76,Sevilla – proMETEO: kategorizace a pojmenovávání vln veder dle zdravotních dopadů,Vlny veder,Město,"Sevilla, Španělsko",37.3891,-5.9845,Nízké (<500 tis. Kč),Krátkodobá (<1 rok),"První systém na světě, který vlny veder kategorizuje a pojmenovává jako hurikány (pilot od 6/2022; město Sevilla + Arsht-Rock Resilience Center + Universidad de Sevilla, metodicky navazuje na Philadelphia Hot Weather–Health Watch/Warning System 1995): třístupňová kategorizace (Cat 1–3) postavená na predikci nadměrné úmrtnosti z lokálních meteorologických a mortalitních dat (teplota, vlhkost, noční minima, podmínky předchozích 30 dnů), nikoli jen na meteorologii; každá kategorie spouští definované akce (otevření bazénů, nasazení komunitních zdravotníků k zranitelným). Jen nejnebezpečnější vlny (Cat 3) dostávají jméno v sestupném pořadí abecedy – 24. 7. 2022 se 'Zoe' (Cat 3, 22.–27. 7., přes 42–43 °C) stala první oficiálně pojmenovanou vlnou veder na světě.","Zdravotně založené prahy (predikce excess mortality) místo čistě meteorologických; jméno jako komunikační nástroj rizika – evaluace (Scientific Reports 2024): respondenti, kteří si jméno Zoe vybavili, vykazovali vyšší vnímání rizika a ochranné chování; 140 příspěvků/37 500 impresí/dosah ~6 mil. lidí; metodika převzata Aténami (kategorizace) a zvažována v Melbourne, Miami, LA.","Evaluace ukazuje jen 6% spontánní vybavení jména – efekt komunikace zatím omezený; meteorologické služby (AEMET, WMO) k pojmenovávání veder rezervované (riziko nekonzistence s oficiálními výstrahami); kalibrace vyžaduje dlouhé lokální řady mortalitních dat; udržitelnost po skončení pilotního financování.","1. Lokální model horko–úmrtnost z historických dat	 2. Třístupňová kategorizace s akčními protokoly	 3. Dohoda o pojmenovávací konvenci (focus groups)	 4. Napojení na městské krizové plány	 5. Komunikační kampaň a média	 6. Aktivace dle predikce (Cat 2–3 → jméno)	 7. Post-sezónní evaluace (surveys, social listening) a rekalibrace",Ayuntamiento de Sevilla / Adrienne Arsht-Rockefeller Foundation Resilience Center / Universidad de Sevilla,,onebillionresilient.org/seville-heat-wave-naming-and-categorization-pilot-project | Nature Scientific Reports (2024) doi:10.1038/s41598-024-59430-8 | preventionweb.net/news/zoe-becomes-worlds-first-named-heat-wave,2026-07-22,,"Zdraví, Obyvatelé a komunita",Organizační,Přímo v krizi – krátkodobá reakce,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"sevilla – prometeo: kategorizace a pojmenovavani vln veder dle zdravotnich dopadu|sevilla, spanelsko|vlny veder"
77,"Francie – zpevnění elektrické sítě po tempête Lothar/Martin (sécurisation mécanique, enfouissement)",Silný vítr,Region,Francie (celostátní),46.6034,1.8883,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Systémová odezva na tempêtes Lothar a Martin (26.–27. 12. 1999: 92 obětí, ~1 000 zničených/poškozených stožárů, 8 000 km linek mimo provoz, 3,5 mil. domácností bez elektřiny): RTE (přenos) spustil plán mechanického zabezpečení sítě – nové návrhové hodnoty větru odvozené z rychlostí 1999, zesílení základů stožárů; za 2001–2016/17 investováno 2,8 mld. €, zabezpečeno 48 000 km linek, 7 900 křížení a 57 000 MW. Enedis (distribuce) souběžně masivně ukládá vedení do země: 100 % nových NN linek a 98,4 % nových VN linek (2021) podzemně; z ~1,4 mil. km NN/VN sítě je již polovina uložena (vs. 29 % v r. 2000). Doplněno lepšími předpověďmi Météo-France (revize po 1999), krizovými týmy FIRE a dálkovým obnovením dodávek.","Prokázaná odolnost: tempête Amélie 2019 (rafály 160 km/h) bez jediného výpadku na přenosové síti RTE; Enedis odhaduje ~15 000 předejitých incidentů ročně díky ukládání; čtyři pilíře (předpovědi, enfouissement, krizové týmy, dálkové obnovení) jako replikovatelný rámec resilience kritické infrastruktury vůči větru; první dedikovaný záznam typu 'silný vítr' v databázi.","Ukládání VVN extrémně nákladné a prostorově náročné (jen 7 055 km ze 100 000 km VVN podzemně, 2022); zbývá >350 000 km nadzemních NN/VN linek – bouře Ciarán 2023 stále 1,2 mil. odběratelů bez proudu; vícedekádový horizont; nové hrozby (vegetace, mokrý sníh) vyžadují průběžný management.","1. Post-událostní analýza a nové návrhové hodnoty větru	 2. Vícetletý plán mechanického zabezpečení přenosové sítě (2001–2017)	 3. Politika podzemního ukládání nových NN/VN linek	 4. Prioritizace úseků dle expozice (pobřeží, koridory bouří)	 5. Posílení předpovědí a výstrah (Météo-France vigilance)	 6. Stálé krizové týmy (FIRE) a zásoby materiálu	 7. Dálkové ovládání pro rychlé obnovení	 8. Vyhodnocení po každé bouři",RTE / Enedis / Météo-France,,"rte-france.com/l-heritage-de-la-tempete (2,8 mld. €, 48 000 km) | rte-france.com/actualites/20-ans-apres-la-tempete-1999 | questions.assemblee-nationale.fr/q16/16-13038QE.htm (statistiky enfouissement)",2026-07-22,,"Finance a majetek, Infrastruktura",Technické,"Po krizi – obnova, Před krizí – prevence",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"francie – zpevneni elektricke site po tempete lothar/martin (securisation mecanique, enfouissement)|francie (celostatni)|silny vitr"
78,Zaragoza – Water Saving City (řízení poptávky po vodě kombinací osvěty a tarifů),Sucho,Město,"Zaragoza, Španělsko",41.6488,-0.8891,Střední (500 tis. - 5 mil. Kč),Kontinuální (>10 let),"Dlouhodobý program řízení poptávky po vodě v semiaridním městě (~314 mm srážek/rok) běžící od r. 1996/97 (start jako LIFE projekt s výzvou 'ušetřit 1 mld. litrů za rok'): kombinace osvětových kampaní, dobrovolných závazků občanů a firem, revize tarifů (plná návratnost nákladů + bonusy: −10 % z účtu při snížení spotřeby o 40 %, krajské slevy 20–25 % na úsporné technologie), zapojení 140 prodejců úsporných technologií a instalatérů a snižování ztrát v distribuční síti.","Pokles spotřeby ze 180 l/os/den (1980) přes 136 (2000) na 105 (2010) a ~94 l/os/den (2018) – mezi nejnižšími v Evropě; celkové snížení spotřeby o ~30 % za 15 let navzdory 12% růstu populace; poruchy potrubí sníženy o >50 % a ztráty o >40 %; povědomí o úsporných opatřeních vzrostlo ze 40 % na 72 % obyvatel; případová studie Climate-ADAPT (EEA) – ukázka, že sucho lze řešit i na straně poptávky, levně a bez konfliktů.","Po dosažení nízké hladiny spotřeby další úspory zpomalují (diminishing returns); nutnost udržovat kampaně a tarifní strukturu; sociální citlivost tarifů (řešeno ochranou nízkopříjmových); přenos vyžaduje důvěru mezi městem, vodárnami a obchodem.","1. Politický závazek a měřitelný cíl (1 mld. l/rok)	 2. Koalice: město, vodárny, obchodníci, instalatéři, školy	 3. Osvětové kampaně a dobrovolné závazky	 4. Tarifní reforma (disincentivy + bonusy za úspory)	 5. Slevy na úsporné technologie	 6. Snižování ztrát v síti	 7. Monitoring spotřeby a publikace výsledků	 8. Rozšíření na parky, průmysl a okolní obce",Ayuntamiento de Zaragoza / Fundación Ecología y Desarrollo (ECODES),,climate-adapt.eea.europa.eu/en/metadata/case-studies/zaragoza-combining-awareness-raising-and-financial-measures-to-enhance-water-efficiency | ebrdgreencities.com/policy-tool/water-saving-programme-zaragoza-spain | cordis.europa.eu (LIFE96ENV-E-000509),2026-07-22,,"Životní prostředí, Finance a majetek, Obyvatelé a komunita",Kombinované,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"zaragoza – water saving city (rizeni poptavky po vode kombinaci osvety a tarifu)|zaragoza, spanelsko|sucho"
79,EFAS – European Flood Awareness System (nadnárodní předpovědní systém povodní),"Povodně, Přívalové deště",Region,Evropa (nadnárodní; vývoj JRC Ispra),45.81,8.63,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Nadnárodní systém včasného povědomí o povodních vyvinutý JRC po povodních na Labi a Dunaji 2002 (první vývoj 2003 s experty z Rakouska, ČR, Německa, Maďarska a Slovenska; od 2012 plně operační součást Copernicus EMS): hydrologický model LISFLOOD běží 2× denně se čtyřmi meteorologickými vstupy (deterministické DWD a ECMWF, ansámbly ECMWF a COSMO-LEPS) a poskytuje pravděpodobnostní předpovědi průtoků s předstihem až 10 dnů + indikátory bleskových povodní a sezónní výhledy. Notifikace partnerům (>100 národních/regionálních hydrologických služeb a civilních ochran vč. ČHMÚ) při splnění kritérií (povodí >2 000 km², předstih 48–240 h, překročení 5letého průtoku, ≥30% pravděpodobnost) a denní přehled pro ERCC Evropské komise.",Předstih až 10 dnů pro proaktivní rozhodování; přidaná hodnota zejména u přeshraničních povodí (harmonizované předpovědi); podpora ERCC při koordinaci evropské pomoci; síť >100 partnerů se zpětnou vazbou k přesnosti notifikací; veřejný archiv dat pro výzkum; ČR mezi zakládajícími experty – přímá relevance pro HZS/ČHMÚ praxi.,"Doplněk, nikoli náhrada národních systémů (akce v národní kompetenci); rozlišení a prahy omezené pro malá povodí a bleskové povodně (ilustruje Ahr 2021 – EFAS varoval, selhala národní 'poslední míle'); pravděpodobnostní informace vyžaduje trénink uživatelů; real-time data jen pro partnery.","1. Post-událostní mandát EK (2002)	 2. Vývoj LISFLOOD a kalibrace povodí	 3. Dohody s ECMWF a meteoslužbami o vstupech	 4. Budování partnerské sítě a kritérií notifikací	 5. Operacionalizace v Copernicus EMS (2012)	 6. Denní 24/7 provoz center (výpočty, disseminace, data)	 7. Zpětná vazba partnerů a skill assessment	 8. Průběžné upgrady modelu a produktů","European Commission JRC / ECMWF / Copernicus EMS (disseminace: SMHI, SHMÚ, Rijkswaterstaat)",,european-flood.emergency.copernicus.eu | ecmwf.int/en/research/projects/efas | copernicus.eu/en/european-flood-awareness-system | EGU23-5511 (skill assessment),2026-07-22,,"Infrastruktura, Obyvatelé a komunita",Technické,"Přímo v krizi – krátkodobá reakce, Připravenost systému (IZS)",Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"efas – european flood awareness system (nadnarodni predpovedni system povodni)|evropa (nadnarodni; vyvoj jrc ispra)|povodne, privalove deste"
80,Čína – Sponge City Programme (národní program houbových měst),"Sucho, Povodně, Přívalové deště",Region,Čína (celostátní; pilot Wu-chan),30.5928,114.3055,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Národní politická iniciativa (koncept 2013, směrnice MOHURD 2014, start 2015 v 16 pilotních městech, rozšířeno na 30 a dále desítky měst) integrující modrozelenou infrastrukturu a LID do urbanismu: dešťové zahrady, bioswales, umělé mokřady, propustné povrchy, retenční parky. Klíčový výkonnostní index: Volume Capture Ratio of Annual Rainfall (VCRa) – cíl zachytit/využít 70 % ročních srážek; do 2020 mělo být pokryto ~20 % urbánních ploch, do 2030 ~80 % urbánních ploch s cílem VCRa 70 %. Pilot Wu-chan ('město sta jezer', jezera zmenšena o ~70 % od 50. let): přes 389 projektů na ~20,9 km², cíl ochrany proti 30leté povodni; kombinace NBS a šedých opatření.","Bezprecedentní měřítko mainstreamingu SUDS/LID principů do národní politiky; jednotná kvantifikovaná metrika (VCRa 70 %) umožňující srovnání měst; nezávislé evaluace (Clemson dissertation, SWMM studie Qingshan) ukazují trend k dosažení cíle v pilotních povodích; adresuje současně zaplavování, doplňování podzemních vod, kvalitu vody i tepelný ostrov.",Extrémní srážky nad návrhové parametry systém přehltí (Zhengzhou 2021); heterogenní kvalita implementace mezi městy; financování údržby po pilotní fázi; VCRa je proxy – vztah k reálnému snížení škod vyžaduje další evaluaci; institucionální kontext omezuje přímou přenositelnost governance (technická opatření přenositelná jsou).,"1. Národní směrnice a technické guidelines (MOHURD 2014)	 2. Výběr pilotních měst s centrálním kofinancováním	 3. Stanovení VCRa cílů a plánů povodí	 4. Realizace LID/BGI projektů ve vybraných okrscích	 5. Monitoring (srážky, odtok, SWMM modelace)	 6. Evaluace pilotů a revize standardů	 7. Škálování na další města s cílem 80 % ploch do 2030",MOHURD / State Council ČLR / municipality (pilot: Wuhan),,"networknature.eu (Wuhan Sponge City Programme) | open.clemson.edu/all_dissertations/3035 (evaluace VCRa, 3 case studies) | frontiersin.org/articles/10.3389/frwa.2024.1406520 (SWMM Qingshan) | MOHURD Sponge City Construction Guidelines (2014)",2026-07-22,,"Životní prostředí, Infrastruktura",Kombinované,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"cina – sponge city programme (narodni program houbovych mest)|cina (celostatni; pilot wu-chan)|privalove deste, povodne, sucho"
81,Melbourne – Urban Forest Strategy (strategie městského lesa s cílem 40% korunového zápoje),"Sucho, Vlny veder",Město,"Melbourne, Austrálie",-37.8136,144.9631,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Dvacetiletá strategie (přijata 2012 po miléniovém suchu 1997–2009 a zjištění ULE assessmentu, že >20 % stromů zanikne do 10 let a ~40 % do 20 let): zdvojnásobit korunový zápoj veřejných prostranství z 22 % na 40 % do r. 2040 výsadbou ~3 000 stromů ročně; pravidla diverzity proti plošnému úhynu (max. 5 % jednoho druhu, 10 % rodu, 20 % čeledi); cíl 90 % stromů v dobrém zdravotním stavu do 2040; zlepšení půdní vlhkosti (water sensitive city) a biodiverzity. Implementace přes 10+ Urban Forest Precinct Plans rozpracovaných ulici po ulici, s formálním schvalovacím procesem a veřejnou konzultací; doprovodná online vizualizace každého stromu (Urban Forest Visual) s možností občanů psát stromům e-maily.","Kvantifikovaný, právně schválený cíl s ročním tempem výsadby a diverzitními limity – převoditelná šablona pro městské strategie; rozpočet AUD 30 mil., 42 000 stromů za 20 let; korunový zápoj jako nákladově nejefektivnější mitigace UHI (dle strategie); transparentní monitoring (mapa každého stromu); precinct plány umožňují lokální kalibraci vč. druhové skladby a redesignu ulic.",Horizont 2040 přesahuje volební cykly – závislost na kontinuitě; konflikty se sítěmi a heritage režimy; zavlažování mladých stromů v suchém klimatu; kompenzace úbytku stárnoucí populace stromů vyžaduje trvalé tempo; efekt zápoje na teplotu se plně projeví až po dekádách růstu.,"1. ULE assessment zdraví a životnosti stromové populace	 2. Strategie s cíli (40 % zápoj, diverzita, zdraví, půdní vlhkost)	 3. Formální přijetí radou a rozpočet	 4. Precinct plány ulici po ulici s konzultacemi	 5. Výsadba ~3 000 stromů/rok dle evidence-based výběru druhů	 6. Závlaha a péče o mladé stromy	 7. Online monitoring (Urban Forest Visual) a roční kontroly zdraví	 8. Aktualizace plánů dle vývoje zápoje",City of Melbourne,,melbourne.vic.gov.au/urban-forest-strategy | aiph.org/green-city-case-studies/melbourne-australia-urban-forestry | cities4forests.com (case study) | melbourneurbanforestvisual.com.au | pozn.: tematická vazba na #2 (Praha výsadba) a #50 (Toronto Cool Streets) – Melbourne přidává strategickou vrstvu s kvantifikovaným cílem,2026-07-22,,"Životní prostředí, Zdraví, Infrastruktura",Organizační,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"melbourne – urban forest strategy (strategie mestskeho lesa s cilem 40% korunoveho zapoje)|melbourne, australie|vlny veder, sucho"
